disease,translated
Drug Reaction,Reaksi Obat
Malaria,Malaria
Allergy,Alergi
Hypothyroidism,Hipotiroidisme
Psoriasis,Psoriasis
GERD,GERD
Chronic cholestasis,Kolestasis Kronis
hepatitis A,Hepatitis A
Osteoarthristis,Osteoartritis
(vertigo) Paroymsal Positional Vertigo,Vertigo Posisi Paroksismal
Hypoglycemia,Hipoglikemia
Acne,Jerawat
Diabetes,Diabetes
Impetigo,Impetigo
Hypertension,Hipertensi
Peptic ulcer disease,Penyakit Tukak Lambung
Dimorphic hemorrhoids(piles),Wasir Dimorfik
Common Cold,Selesma
Chicken pox,Cacar Air
Cervical spondylosis,Spondilosis Serviks
Hyperthyroidism,Hipertiroidisme
Urinary tract infection,Infeksi Saluran Kemih
Varicose veins,Varises
AIDS,AIDS
Paralysis (brain hemorrhage),Paralisis (Perdarahan Otak)
Typhoid,Tifus
Hepatitis B,Hepatitis B
Fungal infection,Infeksi Jamur
Hepatitis C,Hepatitis C
Migraine,Migrain
Bronchial Asthma,Asma Bronkial
Alcoholic hepatitis,Hepatitis Alkoholik
Jaundice,Jaundice
Hepatitis E,Hepatitis E
Dengue,Dengue
Hepatitis D,Hepatitis D
Heart attack,Serangan Jantung
Pneumonia,Pneumonia
Arthritis,Artritis
Gastroenteritis,Gastroenteritis
Tuberculosis,Tuberkulosis
